,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,782.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,0.24,0.2424,0.7,0.1642,3.0,36.0,39.0,39.0
1,6348.0,4.0,0.0,9.0,1.0,0.0,2.0,1.0,1.0,0.62,0.5455,0.94,0.1642,4.0,6.0,10.0,10.0
2,4676.0,3.0,0.0,7.0,17.0,0.0,1.0,1.0,1.0,0.84,0.7879,0.49,0.3284,72.0,473.0,545.0,545.0
3,12012.0,2.0,1.0,5.0,16.0,0.0,0.0,0.0,1.0,0.72,0.6515,0.42,0.3582,238.0,339.0,577.0,577.0
4,8794.0,1.0,1.0,1.0,5.0,0.0,6.0,0.0,1.0,0.26,0.2727,0.75,0.1045,2.0,7.0,9.0,9.0
5,13305.0,3.0,1.0,7.0,13.0,0.0,5.0,1.0,2.0,0.8,0.7121,0.38,0.1343,100.0,274.0,374.0,374.0
6,1598.0,1.0,0.0,3.0,1.0,0.0,6.0,0.0,1.0,0.24,0.2273,0.65,0.194,3.0,15.0,18.0,18.0
7,13945.0,3.0,1.0,8.0,5.0,0.0,4.0,1.0,2.0,0.66,0.5909,0.94,0.0,4.0,37.0,41.0,41.0
8,7775.0,4.0,0.0,11.0,13.0,0.0,5.0,1.0,1.0,0.5,0.4848,0.45,0.2239,143.0,140.0,283.0,283.0
9,3678.0,2.0,0.0,6.0,3.0,0.0,2.0,1.0,1.0,0.6,0.5909,0.73,0.0896,1.0,1.0,2.0,2.0
10,12419.0,2.0,1.0,6.0,15.0,0.0,3.0,1.0,1.0,0.64,0.6212,0.38,0.0,75.0,225.0,300.0,300.0
11,11235.0,2.0,1.0,4.0,7.0,0.0,3.0,1.0,2.0,0.5,0.4848,0.39,0.194,10.0,408.0,418.0,418.0
12,4071.0,3.0,0.0,6.0,12.0,0.0,4.0,1.0,2.0,0.76,0.7273,0.66,0.2836,30.0,130.0,160.0,160.0
13,9002.0,1.0,1.0,1.0,22.0,0.0,0.0,0.0,1.0,0.18,0.2121,0.37,0.0896,2.0,58.0,60.0,60.0
14,8574.0,1.0,0.0,12.0,0.0,0.0,4.0,1.0,2.0,0.22,0.2273,0.47,0.194,4.0,24.0,28.0,28.0
15,6304.0,4.0,0.0,9.0,5.0,0.0,0.0,0.0,1.0,0.6,0.5455,0.88,0.0896,1.0,2.0,3.0,3.0
